1106 1120
169 658 3
170 244 3
171 1087 4
172 627 7
173 176 9
174 184 3
175 865 2
176 938 3
177 412 10
178 52 10
179 17 6
180 588 2
181 185 4
182 636 4
183 926 7
184 355 5
185 949 1
186 646 9
187 598 10
188 405 1
189 515 9
190 689 10
191 313 10
192 502 7
193 839 10
194 550 8
195 444 4
196 536 7
197 198 7
198 277 7
199 684 4
200 1043 10
201 33 4
202 503 3
203 169 7
204 618 3
205 40 4
206 434 8
207 223 7
208 263 9
209 726 7
210 220 5
211 488 6
212 805 3
213 920 1
214 297 9
215 831 2
216 197 4
217 113 1
218 934 1
219 494 1
220 929 10
221 678 8
222 403 9
223 569 9
224 136 5
225 900 6
226 854 5
227 1089 8
228 614 4
229 959 2
230 1031 5
231 2 4
232 271 2
233 280 5
234 83 1
235 162 3
236 875 5
237 534 6
238 660 3
239 125 8
240 285 3
241 227 1
242 982 6
243 876 10
244 268 3
245 847 10
246 980 6
247 846 9
248 345 5
249 139 3
250 762 2
251 155 7
252 992 7
253 164 5
254 641 4
255 573 4
256 24 1
257 695 2
258 594 6
259 560 7
260 984 2
261 623 9
262 841 1
263 631 9
264 523 8
265 22 4
266 718 10
267 792 6
268 264 6
269 239 9
270 92 5
271 602 8
272 360 1
273 722 6
274 512 10
275 825 9
276 354 5
277 248 7
278 921 4
279 994 1
280 221 9
281 606 10
282 286 6
283 1027 10
284 529 8
285 178 10
285 392 6
286 1009 6
287 32 10
288 443 4
288 943 5
289 904 8
290 622 9
291 796 4
292 552 1
293 719 10
294 455 6
295 906 3
296 471 3
297 525 8
298 160 6
299 1071 10
300 838 1
301 1005 8
302 340 5
303 95 4
304 94 2
305 442 7
306 316 7
307 651 5
308 230 1
308 267 7
309 566 10
310 483 3
311 473 5
312 555 4
313 727 9
314 680 10
315 930 9
316 199 3
317 91 8
318 988 7
319 481 4
320 337 5
321 245 3
322 335 7
323 914 3
324 182 3
325 804 6
326 706 5
327 998 1
328 532 1
329 1070 4
330 368 3
331 140 9
332 800 10
333 237 10
334 175 7
335 872 2
336 147 1
337 1100 1
338 496 8
339 562 7
340 933 7
341 785 8
342 224 1
343 194 4
344 852 4
345 115 5
346 159 4
347 100 5
348 937 1
349 218 2
350 864 4
351 429 6
352 393 1
353 87 7
354 645 6
355 504 8
356 603 5
357 302 8
358 966 5
359 450 8
360 501 3
361 810 7
362 168 2
363 601 3
364 315 7
365 628 3
366 911 10
367 500 4
368 117 7
369 607 2
370 692 4
371 228 8
372 205 9
373 891 10
374 816 4
375 255 1
376 498 3
377 530 2
378 170 1
379 174 2
380 665 3
381 729 8
382 120 4
383 694 6
384 522 4
385 408 3
386 260 10
387 73 1
388 1038 6
389 944 9
390 293 4
391 121 9
392 649 10
393 137 2
394 976 5
394 683 2
395 1020 3
396 793 10
397 780 8
398 42 4
399 978 8
400 629 4
401 956 2
402 1049 8
403 544 8
404 395 10
405 968 10
406 873 10
407 942 2
408 699 4
409 1056 10
410 941 4
411 927 1
412 130 6
413 527 7
414 584 5
415 478 4
416 1040 7
417 625 4
418 250 9
419 557 9
420 232 1
421 916 10
422 51 1
423 626 3
424 123 10
425 666 4
426 621 6
427 1066 6
428 1083 10
429 748 10
430 771 6
431 464 9
432 99 2
433 392 7
433 703 3
434 436 6
434 745 2
435 632 6
436 894 7
437 704 1
439 477 5
440 127 9
441 82 8
442 508 7
443 1019 10
444 698 8
445 126 1
446 951 6
447 856 8
448 490 9
449 1047 4
450 669 1
451 945 1
452 593 9
453 449 1
454 251 2
455 7 10
456 895 5
457 497 4
458 15 1
459 172 2
460 977 8
461 1057 4
462 784 9
463 999 1
464 402 4
465 981 3
466 772 8
467 1 6
468 1048 5
469 193 5
470 357 3
471 118 7
472 5 5
473 195 10
474 851 3
475 282 9
476 791 4
477 389 3
478 383 6
479 769 7
480 208 2
481 266 8
482 827 8
483 513 7
484 341 9
485 563 6
486 773 2
487 736 10
488 986 6
489 1025 1
490 308 9
491 439 7
492 1096 9
493 752 5
494 511 1
496 830 3
497 122 9
498 505 7
498 751 4
499 314 5
500 1105 5
501 466 7
502 652 4
503 707 3
504 46 5
505 272 3
506 983 10
507 564 7
508 491 5
509 8 10
510 543 2
511 289 7
512 776 5
513 487 3
514 693 1
515 613 7
516 611 3
517 888 10
518 889 10
519 1041 8
520 670 2
521 154 2
522 1080 3
523 849 8
524 312 7
525 396 3
526 447 5
527 351 4
528 654 7
529 859 7
530 751 6
531 993 8
532 18 9
533 265 2
534 745 7
535 296 7
536 215 7
537 605 9
538 583 7
539 724 10
540 531 6
541 13 3
542 409 9
543 551 5
544 4 2
545 970 2
546 219 2
547 696 7
548 885 1
549 1061 5
550 423 2
551 166 7
552 599 5
553 72 10
554 445 1
555 674 9
556 323 5
557 782 10
558 1104 8
559 80 1
560 655 6
561 9 10
562 1058 9
563 364 1
564 686 7
565 1054 3
566 979 5
567 419 1
568 837 8
569 638 7
570 650 10
571 303 4
572 974 2
573 451 5
574 370 7
575 818 5
576 840 3
577 1024 3
578 21 5
579 728 3
580 690 7
581 681 1
582 206 9
583 848 9
584 765 10
585 428 1
586 291 10
587 222 2
588 203 1
589 448 6
590 465 6
591 62 10
592 397 3
593 324 7
594 672 4
595 1033 7
597 778 8
598 749 4
599 788 10
600 878 2
601 231 2
602 103 7
603 740 2
604 701 4
605 246 1
606 590 6
607 668 6
608 1062 10
609 259 8
610 363 8
611 883 4
612 407 9
613 691 2
614 36 1
615 565 4
616 735 10
617 897 9
618 734 4
619 141 1
620 305 7
621 108 6
622 480 7
623 394 4
624 863 3
625 667 1
626 975 2
627 939 4
628 714 4
629 570 1
630 152 10
631 243 5
632 417 4
633 1039 9
634 39 6
635 319 4
636 964 9
637 356 8
638 822 4
639 306 1
640 468 4
641 697 10
642 922 10
643 90 5
644 630 4
645 267 10
645 333 8
646 342 6
647 10 4
648 1099 5
649 506 6
650 43 9
651 540 5
652 1001 2
653 410 7
654 180 9
655 156 8
656 902 6
657 779 4
658 705 6
659 214 5
660 862 8
661 421 7
662 586 1
663 489 9
664 819 2
665 391 6
666 430 10
667 283 1
668 290 5
669 435 1
670 129 9
671 1082 9
672 858 3
673 458 3
674 1065 4
675 794 3
676 575 10
677 93 4
678 832 3
679 85 8
680 179 4
681 1003 4
682 492 7
683 957 2
684 493 5
685 826 6
686 3 8
687 288 1
688 985 3
689 359 6
690 253 9
691 433 7
692 452 2
693 901 5
694 853 6
695 1094 8
696 196 9
697 713 4
698 367 5
699 553 9
700 1035 7
701 580 6
701 880 3
702 1016 2
703 16 4
704 682 1
705 53 9
706 703 10
706 230 9
707 110 10
708 102 10
709 112 9
710 149 4
711 114 10
712 499 1
713 807 10
714 298 9
715 1034 9
716 1000 9
717 11 10
718 252 6
719 576 9
720 909 10
721 158 6
722 960 10
724 1044 5
725 969 8
726 257 4
727 720 7
728 460 7
729 210 4
730 896 2
731 578 1
732 469 2
733 808 3
734 294 10
735 26 4
736 153 1
737 812 10
738 700 3
739 1037 9
740 56 3
741 591 8
742 708 7
743 334 9
744 821 4
745 517 6
746 912 3
747 317 7
748 972 6
749 750 10
750 70 5
751 414 5
752 744 7
753 880 9
753 443 6
754 236 6
755 795 7
756 432 4
757 47 8
758 372 9
759 37 5
760 1093 10
761 362 4
762 890 10
763 1063 2
764 84 1
765 732 9
766 462 10
767 761 7
768 545 2
769 866 5
770 644 3
771 918 1
772 446 1
773 585 9
774 422 1
775 45 10
776 6 6
777 571 10
778 639 10
779 143 5
780 775 1
781 300 9
782 346 10
783 519 2
784 304 8
785 54 5
786 441 3
787 996 9
788 739 1
789 763 1
790 361 4
791 881 5
792 767 6
793 850 5
794 737 9
795 855 4
796 777 1
797 899 5
798 1059 5
799 1006 3
800 1052 2
801 577 4
802 995 8
803 867 5
804 181 6
805 910 4
806 633 8
807 789 2
808 712 10
809 27 9
810 322 8
811 349 9
812 907 10
813 275 8
814 905 2
815 845 8
816 738 10
817 558 4
818 616 9
819 868 5
820 454 10
821 559 4
822 106 5
823 96 4
824 671 9
825 524 1
826 482 4
827 427 9
828 935 6
829 416 5
830 276 4
831 278 9
832 190 6
833 547 4
834 64 7
835 328 9
836 843 1
837 790 10
838 828 10
839 299 6
840 440 8
841 537 6
842 958 8
843 1053 6
844 1055 2
845 861 2
846 88 9
847 742 2
848 1077 7
849 238 8
850 834 3
851 135 10
852 510 7
853 1022 9
853 878 10
854 886 2
855 711 8
856 715 3
857 173 10
858 331 7
859 234 4
860 754 10
861 1097 5
862 1017 6
863 486 10
864 879 1
865 1075 3
866 14 9
867 186 6
868 811 1
869 270 9
870 213 8
871 612 10
872 476 10
873 833 1
874 269 3
875 1091 3
876 608 2
877 273 3
878 41 8
879 965 7
880 783 6
881 1064 6
882 161 2
883 971 9
884 987 3
885 731 4
886 770 6
887 648 2
888 66 3
889 1051 7
890 521 5
891 950 3
892 343 7
893 1042 6
894 318 6
895 687 1
896 556 3
897 382 1
898 592 10
899 20 9
900 835 3
901 997 10
902 111 2
903 366 5
904 385 6
905 61 5
906 604 2
907 620 6
908 587 1
909 311 5
910 485 4
911 1079 10
912 344 7
913 104 7
914 973 10
915 1084 9
916 766 2
917 662 7
918 1002 5
919 653 6
920 1013 6
921 725 8
922 798 7
923 124 3
924 192 1
925 472 1
926 202 8
927 755 3
928 399 7
929 676 8
930 151 6
931 201 10
932 677 6
933 25 1
934 538 8
935 200 4
936 947 4
937 374 3
938 327 2
939 63 6
940 757 3
941 509 6
942 401 2
944 1015 1
945 579 1
946 457 9
947 426 2
948 917 10
949 240 7
950 657 2
951 377 4
952 813 5
953 533 4
954 546 5
955 932 1
956 209 4
957 760 9
958 952 2
959 390 2
960 936 8
961 333 4
961 580 4
962 424 8
963 301 4
964 963 9
965 1098 5
966 817 7
967 884 6
968 59 9
969 67 6
970 34 9
971 431 4
972 325 7
973 295 4
974 339 4
975 461 8
976 183 7
977 730 6
977 255 1
978 673 7
979 321 1
980 81 5
981 1028 8
982 624 4
983 1086 5
984 413 1
985 609 6
986 415 3
987 882 1
988 329 7
989 352 7
990 1023 7
991 411 10
992 518 2
993 619 4
994 142 9
995 1045 2
996 386 5
997 23 5
998 1101 10
999 254 4
1000 1106 10
1001 71 9
1002 131 6
1003 116 3
1004 76 9
1005 709 6
1006 908 10
1007 1076 10
1008 353 9
1009 610 1
1010 148 9
1011 347 4
1012 453 2
1013 1069 8
1014 802 5
1015 134 10
1016 144 10
1017 188 8
1018 615 3
1019 247 6
1020 1011 6
1021 634 6
1022 756 4
1023 721 1
1024 177 4
1025 962 2
1026 1081 5
1026 87 10
1027 261 1
1028 217 6
1029 786 1
1030 212 1
1031 824 5
1033 820 3
1034 470 3
1035 474 8
1036 365 8
1037 991 1
1038 157 4
1039 774 3
1040 717 7
1041 595 9
1042 387 6
1043 874 2
1044 79 3
1045 425 10
1046 57 5
1047 548 9
1048 242 10
1049 381 8
1050 1088 3
1051 348 2
1052 350 8
1053 379 9
1054 528 7
1055 279 8
1055 178 5
1056 274 1
1057 380 7
1058 1029 8
1059 371 10
1060 656 4
1061 400 1
1062 635 9
1063 892 6
1064 829 8
1065 549 1
1066 150 1
1067 919 4
1068 743 4
1069 568 7
1070 133 8
1071 989 7
1072 542 5
1073 105 7
1074 191 2
1075 617 8
1076 925 9
1077 262 8
1078 787 1
1079 320 4
1080 870 1
1081 928 8
1082 685 2
1083 463 6
1084 437 9
1085 961 7
1086 138 4
1087 836 5
1088 145 10
1089 741 10
1090 946 10
1091 307 2
1092 378 4
1093 1030 10
1094 931 8
1095 554 5
1095 46 8
1096 38 6
1097 1072 8
1098 165 6
1099 953 7
1100 581 3
1101 101 5
1102 1060 8
1103 86 7
1104 643 7
1105 642 10
1106 49 3
_____________
Output:
Level 2 (maximum cardinlaity matching) : 550
